ind;press;temp
229;10.22635593;25.44
230;10.28835593;25.445
231;10.30535593;25.444
232;10.34135593;25.445
233;10.33235593;25.443
234;10.33235593;25.444
235;10.38535593;25.445
236;10.50135593;25.443
237;10.57135593;25.443
238;10.61635593;25.441
239;10.67835593;25.442
240;10.69635593;25.442
241;10.66035593;25.443
242;10.61635593;25.442
243;10.62535593;25.442
244;10.66935593;25.442
245;10.74035593;25.44
246;10.85535593;25.44
247;10.95335593;25.44
248;11.07735593;25.44
249;11.20135593;25.438
250;11.32535593;25.438
251;11.40535593;25.44
252;11.40535593;25.439
253;11.36935593;25.44
254;11.34335593;25.44
255;11.33435593;25.44
256;11.38735593;25.441
257;11.50235593;25.44
258;11.63535593;25.438
259;11.74235593;25.438
260;11.85735593;25.439
261;11.97235593;25.437
262;12.08835593;25.438
263;12.13235593;25.437
264;12.18535593;25.437
265;12.23835593;25.437
266;12.28335593;25.436
267;12.33635593;25.435
268;12.40735593;25.435
269;12.49635593;25.436
270;12.57535593;25.436
271;12.67335593;25.436
272;12.77135593;25.436
273;12.82435593;25.432
274;12.94835593;25.433
275;13.07235593;25.433
276;13.14335593;25.432
277;13.17035593;25.433
278;13.17935593;25.431
279;13.19635593;25.433
280;13.22335593;25.435
281;13.25835593;25.436
282;13.30335593;25.434
283;13.37435593;25.433
284;13.39135593;25.432
285;13.43635593;25.431
286;13.43635593;25.43
287;13.37435593;25.43
288;13.32035593;25.43
289;13.28535593;25.432
290;13.25835593;25.431
291;13.29435593;25.43
292;13.33835593;25.433
293;13.42735593;25.43
294;13.55135593;25.43
295;13.64935593;25.43
296;13.66635593;25.43
297;13.65735593;25.43
298;13.58635593;25.429
299;13.55135593;25.429
300;13.53335593;25.43
301;13.54235593;25.431
302;13.54235593;25.43
303;13.59535593;25.431
304;13.71135593;25.43
305;13.83535593;25.431
306;13.94135593;25.431
307;13.99435593;25.43
308;14.03035593;25.43
309;14.05735593;25.428
310;14.11035593;25.429
311;14.18135593;25.43
312;14.23435593;25.43
313;14.27835593;25.431
314;14.33135593;25.433
315;14.44735593;25.431
316;14.54435593;25.432
317;14.68635593;25.43
318;14.80235593;25.429
319;14.90835593;25.429
320;14.99735593;25.428
321;15.04135593;25.426
322;15.11235593;25.426
323;15.18335593;25.427
324;15.25435593;25.429
325;15.28935593;25.428
326;15.32535593;25.427
327;15.39635593;25.428
328;15.48535593;25.428
329;15.61835593;25.425
330;15.75135593;25.421
331;15.89335593;25.417
332;15.96435593;25.416
333;15.99035593;25.416
334;16.04335593;25.415
335;16.11435593;25.413
336;16.20335593;25.417
337;16.27435593;25.416
338;16.32735593;25.418
339;16.40735593;25.419
340;16.39835593;25.416
341;16.46035593;25.411
342;16.54935593;25.404
343;16.71835593;25.406
344;16.86835593;25.399
345;17.01035593;25.396
346;17.09035593;25.394
347;17.08135593;25.394
348;17.08135593;25.392
349;17.08135593;25.391
350;17.09935593;25.39
351;17.19735593;25.391
352;17.26835593;25.389
353;17.34735593;25.389
354;17.41835593;25.389
355;17.51635593;25.387
356;17.64935593;25.387
357;17.79135593;25.385
358;17.87135593;25.386
359;17.85335593;25.386
360;17.85335593;25.386
361;17.85335593;25.386
362;17.89835593;25.387
363;17.96935593;25.386
364;18.10235593;25.385
365;18.18135593;25.384
366;18.25235593;25.383
367;18.27935593;25.384
368;18.27935593;25.383
369;18.29735593;25.381
370;18.30635593;25.383
371;18.32335593;25.381
372;18.29735593;25.38
373;18.33235593;25.379
374;18.34135593;25.38
375;18.33235593;25.38
376;18.28835593;25.38
377;18.24435593;25.38
378;18.18135593;25.382
379;18.13735593;25.381
380;18.16435593;25.381
381;18.23535593;25.381
382;18.29735593;25.382
383;18.35035593;25.383
384;18.43035593;25.38
385;18.50135593;25.379
386;18.53635593;25.377
